dataset,lr,dropout,n_blocks,metric,test_mean,test_std,n_seeds,val_ndcg20_mean,val_ndcg20_std
beauty,0.001,0.2,2,recall@20,0.08589999999999999,0.0015874507866387552,3,0.04916488282393635,0.0002955884187398108
beauty,0.001,0.2,2,recall@5,0.03613333333333333,0.0005773502691896263,3,0.04916488282393635,0.0002955884187398108
beauty,0.001,0.5,1,ndcg@10,0.0321,0.0009643650760992969,3,0.05068881255274137,0.0003940700457626863
beauty,0.001,0.5,1,ndcg@20,0.03956666666666667,0.001021436896402974,3,0.05068881255274137,0.0003940700457626863
beauty,0.001,0.5,1,ndcg@5,0.024866666666666665,0.0011846237095944573,3,0.05068881255274137,0.0003940700457626863
beauty,0.001,0.5,1,recall@10,0.06060000000000001,0.0014730919862656236,3,0.05068881255274137,0.0003940700457626863
beauty,0.001,0.5,1,recall@20,0.09016666666666667,0.0014153915830374805,3,0.05068881255274137,0.0003940700457626863
beauty,0.001,0.5,1,recall@5,0.038233333333333334,0.0015502687938977974,3,0.05068881255274137,0.0003940700457626863
beauty,0.001,0.5,2,ndcg@10,0.029433333333333336,0.0015307950004273367,3,0.048390812018262765,0.001924643793053434
beauty,0.001,0.5,2,ndcg@20,0.03666666666666667,0.0018583146486355147,3,0.048390812018262765,0.001924643793053434
beauty,0.001,0.5,2,ndcg@5,0.022500000000000003,0.0013228756555322965,3,0.048390812018262765,0.001924643793053434
beauty,0.001,0.5,2,recall@10,0.056799999999999996,0.002598076211353314,3,0.048390812018262765,0.001924643793053434
beauty,0.001,0.5,2,recall@20,0.0857,0.003831448812133605,3,0.048390812018262765,0.001924643793053434
beauty,0.001,0.5,2,recall@5,0.0352,0.0019974984355438184,3,0.048390812018262765,0.001924643793053434
beauty,0.001,0.5,3,ndcg@10,0.0289,0.001307669683062202,3,0.04750997388122272,0.0008570069527269817
beauty,0.001,0.5,3,ndcg@20,0.036366666666666665,0.0006350852961085905,3,0.04750997388122272,0.0008570069527269817
beauty,0.001,0.5,3,ndcg@5,0.02223333333333333,0.0011150485789118492,3,0.04750997388122272,0.0008570069527269817
beauty,0.001,0.5,3,recall@10,0.0551,0.002193171219946133,3,0.04750997388122272,0.0008570069527269817
beauty,0.001,0.5,3,recall@20,0.08486666666666666,0.0005859465277082325,3,0.04750997388122272,0.0008570069527269817
beauty,0.001,0.5,3,recall@5,0.034466666666666666,0.0016010413278030444,3,0.04750997388122272,0.0008570069527269817
beauty,0.001,0.8,2,ndcg@10,0.022466666666666666,0.00020816659994661395,3,0.03965541236967412,0.0008930581245852685
beauty,0.001,0.8,2,ndcg@20,0.028466666666666668,0.00040414518843273715,3,0.03965541236967412,0.0008930581245852685
beauty,0.001,0.8,2,ndcg@5,0.016766666666666666,0.0005507570547286103,3,0.03965541236967412,0.0008930581245852685
beauty,0.001,0.8,2,recall@10,0.04363333333333333,0.001386842937514315,3,0.03965541236967412,0.0008930581245852685
beauty,0.001,0.8,2,recall@20,0.0674,0.0013114877048603954,3,0.03965541236967412,0.0008930581245852685
beauty,0.001,0.8,2,recall@5,0.0258,0.00034641016151377535,3,0.03965541236967412,0.0008930581245852685
beauty,0.003,0.2,2,ndcg@10,0.0244,0.0009539392014169452,3,0.04075384255976492,0.0011070041490151067
beauty,0.003,0.2,2,ndcg@20,0.031566666666666666,0.0008736894948054123,3,0.04075384255976492,0.0011070041490151067
