dataset,lr,temperature,metric,mean,std,n_seeds,val_ndcg10_mean,val_ndcg10_std
sports_and_outdoors,0.001,0.01,ndcg@10,0.02635714349647363,0.0005319350068008575,3,0.03492302447557449,0.00020200639521883324
sports_and_outdoors,0.001,0.01,ndcg@5,0.02141045592725277,0.0004884598673529166,3,0.03492302447557449,0.00020200639521883324
sports_and_outdoors,0.001,0.01,recall@10,0.04612618684768677,0.0007728983082023859,3,0.03492302447557449,0.00020200639521883324
sports_and_outdoors,0.001,0.01,recall@5,0.03066651647289594,0.0005435041327803451,3,0.03492302447557449,0.00020200639521883324
sports_and_outdoors,0.001,0.03,n_visited_items,4555.986165364583,47.78306707449502,3,0.03421724711855253,0.00014810519555992054
sports_and_outdoors,0.001,0.03,ndcg@10,0.026168585444490116,5.135553045712503e-05,3,0.03421724711855253,0.00014810519555992054
sports_and_outdoors,0.001,0.03,ndcg@5,0.021393705780307453,5.8376816779191135e-05,3,0.03421724711855253,0.00014810519555992054
sports_and_outdoors,0.001,0.03,recall@10,0.045938910295565925,0.0003157420236619249,3,0.03421724711855253,0.00014810519555992054
sports_and_outdoors,0.001,0.03,recall@5,0.03103170543909073,0.00012667103003687072,3,0.03421724711855253,0.00014810519555992054
sports_and_outdoors,0.001,0.07,n_visited_items,4393.13134765625,13.749118672649429,3,0.03269922733306885,0.00019768674585859432
sports_and_outdoors,0.001,0.07,ndcg@10,0.024831406772136688,0.00041118152711728585,3,0.03269922733306885,0.00019768674585859432
sports_and_outdoors,0.001,0.07,ndcg@5,0.02012125961482525,0.0005284315387746666,3,0.03269922733306885,0.00019768674585859432
sports_and_outdoors,0.001,0.07,recall@10,0.04433769732713699,0.00036662786778012576,3,0.03269922733306885,0.00019768674585859432
sports_and_outdoors,0.001,0.07,recall@5,0.02964586081604163,0.0007185779126187533,3,0.03269922733306885,0.00019768674585859432
sports_and_outdoors,0.003,0.01,n_visited_items,4516.95263671875,7.635807429814436,3,0.033736548076073326,0.0001276662736986268
sports_and_outdoors,0.003,0.01,ndcg@10,0.02574685961008072,0.0003468411995459993,3,0.033736548076073326,0.0001276662736986268
sports_and_outdoors,0.003,0.01,ndcg@5,0.020924755682547886,0.0002548115480826569,3,0.033736548076073326,0.0001276662736986268
sports_and_outdoors,0.003,0.01,recall@10,0.04571417967478434,0.0004996287619602569,3,0.033736548076073326,0.0001276662736986268
sports_and_outdoors,0.003,0.01,recall@5,0.030657152955730755,0.00027714398834117684,3,0.033736548076073326,0.0001276662736986268
sports_and_outdoors,0.003,0.03,n_visited_items,4558.667643229167,14.450048907680088,3,0.033385612070560455,0.00019525459364261446
sports_and_outdoors,0.003,0.03,ndcg@10,0.025549054766694706,0.00022310674751045416,3,0.033385612070560455,0.00019525459364261446
sports_and_outdoors,0.003,0.03,ndcg@5,0.020789077505469322,0.00022075752393950493,3,0.033385612070560455,0.00019525459364261446
sports_and_outdoors,0.003,0.03,recall@10,0.044927616914113365,0.00023390833862832548,3,0.033385612070560455,0.00019525459364261446
sports_and_outdoors,0.003,0.03,recall@5,0.030085960403084755,0.00020257056340914278,3,0.033385612070560455,0.00019525459364261446
sports_and_outdoors,0.003,0.07,n_visited_items,4391.218912760417,3.761339791112407,3,0.03253501777847608,0.00023782021175667307
sports_and_outdoors,0.003,0.07,ndcg@10,0.025043311218420666,0.00019479412425059826,3,0.03253501777847608,0.00023782021175667307
sports_and_outdoors,0.003,0.07,ndcg@5,0.020502494648098946,0.00032735438114055393,3,0.03253501777847608,0.00023782021175667307
sports_and_outdoors,0.003,0.07,recall@10,0.04415042077501615,0.0003094307449386683,3,0.03253501777847608,0.00023782021175667307
sports_and_outdoors,0.003,0.07,recall@5,0.029945502678553265,0.00024968203684833936,3,0.03253501777847608,0.00023782021175667307
