dataset,num_beams,n_edges,propagation_steps,metric,mean,std,n_seeds
toys_and_games,10,200,2,ndcg@10,0.044144850857701715,0.0002981404039730428,10
toys_and_games,10,200,2,ndcg@5,0.036668502760319126,0.00039509683873991384,10
toys_and_games,10,200,2,recall@10,0.07777663301050897,0.0005127356240115711,10
toys_and_games,10,200,2,recall@5,0.054337523181537194,0.0006223576503921582,10
toys_and_games,10,300,2,ndcg@10,0.04542441402861145,0.0002880004478497714,10
toys_and_games,10,300,2,ndcg@5,0.03758578863084722,0.0003165677502777372,10
toys_and_games,10,300,2,recall@10,0.08044508551411499,0.00039769748744320513,10
toys_and_games,10,300,2,recall@5,0.05586235318359777,0.00042563179847049024,10
toys_and_games,20,50,2,ndcg@10,0.036551116187529986,0.0006123219414430158,10
toys_and_games,20,50,2,ndcg@5,0.03063138726321098,0.0005237467914637352,10
toys_and_games,20,50,2,recall@10,0.06329589944364311,0.001101402060196178,10
toys_and_games,20,50,2,recall@5,0.0447867298578199,0.000783969189356967,10
toys_and_games,30,50,2,ndcg@10,0.04075859173128292,0.00046051058416039293,10
toys_and_games,30,50,2,ndcg@5,0.03399088037289125,0.0005677383710301251,10
toys_and_games,30,50,2,recall@10,0.0710797444879456,0.0006089473249344452,10
toys_and_games,30,50,2,recall@5,0.04988151658767773,0.0008816361780423052,10
toys_and_games,40,50,2,ndcg@10,0.04294689976580114,0.0006589171548852561,10
toys_and_games,40,50,2,ndcg@5,0.0355996508356249,0.0005116539818979265,10
toys_and_games,40,50,2,recall@10,0.07573150628477231,0.0010564176959782614,10
toys_and_games,40,50,2,recall@5,0.05273542138883165,0.0006915877224730327,10
toys_and_games,50,50,2,ndcg@10,0.04444478652479352,0.00033323952609519745,10
toys_and_games,50,50,2,ndcg@5,0.03689823214009991,0.0003381962449546755,10
toys_and_games,50,50,2,recall@10,0.07821965794354008,0.0005685818288399132,10
toys_and_games,50,50,2,recall@5,0.054574490006181746,0.0005106611625421904,10
