dataset,m,lr,temperature,metric,mean,std,n_seeds,val_ndcg10_mean,val_ndcg10_std
pet_supplies,16,0.01,0.03,ndcg@10,0.03556224703788757,0.00011118685403629797,3,0.04457626988490423,0.00028843282657225956
pet_supplies,16,0.01,0.03,ndcg@5,0.028633172313372295,0.0004071184152743486,3,0.04457626988490423,0.00028843282657225956
pet_supplies,16,0.01,0.03,recall@10,0.06338973840077718,0.0005168815850795789,3,0.04457626988490423,0.00028843282657225956
pet_supplies,16,0.01,0.03,recall@5,0.041834541906913124,0.0007338687039668783,3,0.04457626988490423,0.00028843282657225956
pet_supplies,16,0.01,0.05,n_visited_items,4028.53857421875,8.798031193994,3,0.04446402192115784,0.00046126694219526614
pet_supplies,16,0.01,0.05,ndcg@10,0.035254284739494324,0.00017283889214889954,3,0.04446402192115784,0.00046126694219526614
pet_supplies,16,0.01,0.05,ndcg@5,0.028474232802788418,0.00012840191050653897,3,0.04446402192115784,0.00046126694219526614
pet_supplies,16,0.01,0.05,recall@10,0.06302041312058766,0.0003911922762042228,3,0.04446402192115784,0.00046126694219526614
pet_supplies,16,0.01,0.05,recall@5,0.04190169274806976,0.00041223601057641514,3,0.04446402192115784,0.00046126694219526614
pet_supplies,16,0.01,0.07,n_visited_items,3958.6866861979165,9.626616491880343,3,0.04333405445019404,0.0007634068653497616
pet_supplies,16,0.01,0.07,ndcg@10,0.03443002700805664,0.0011639792012092857,3,0.04333405445019404,0.0007634068653497616
pet_supplies,16,0.01,0.07,ndcg@5,0.027342517549792927,0.0011787630498729669,3,0.04333405445019404,0.0007634068653497616
pet_supplies,16,0.01,0.07,recall@10,0.0621978243192037,0.0016831966998495354,3,0.04333405445019404,0.0007634068653497616
pet_supplies,16,0.01,0.07,recall@5,0.04015578826268514,0.0013516822535641867,3,0.04333405445019404,0.0007634068653497616
pet_supplies,32,0.001,0.03,n_visited_items,4412.471354166667,12.39837310267909,3,0.04577945048610369,0.00010873109284350576
pet_supplies,32,0.001,0.03,ndcg@10,0.03578268364071846,0.0006229466263775916,3,0.04577945048610369,0.00010873109284350576
pet_supplies,32,0.001,0.03,ndcg@5,0.028927364697058994,0.0009402767007235315,3,0.04577945048610369,0.00010873109284350576
pet_supplies,32,0.001,0.03,recall@10,0.06412839392820995,0.0006092286897911849,3,0.04577945048610369,0.00010873109284350576
pet_supplies,32,0.001,0.03,recall@5,0.04277464499076208,0.0012783898962451855,3,0.04577945048610369,0.00010873109284350576
pet_supplies,32,0.001,0.05,n_visited_items,4345.56640625,31.907751001364428,3,0.04543874536951383,0.00037822885134686143
pet_supplies,32,0.001,0.05,ndcg@10,0.03489288811882337,0.0004275915496723247,3,0.04543874536951383,0.00037822885134686143
pet_supplies,32,0.001,0.05,ndcg@5,0.028110405430197716,0.0003328944724063208,3,0.04543874536951383,0.00037822885134686143
